PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
24,60,18,116,133,CONFINED,0.060,1.293,0.368,5.127E-2,4.720,0.222,2.964,0.819,0.019,0.153,0.113,1.500,0.260,-0.292,0.071,0.329,0.019,0.197,0.189,0.638
145,312,11,27,37,CONFINED,0.057,0.013,0.015,4.661E-11,0.196,6.324,3.453,0.998,0.011,0.123,0.096,1.840,2.894E-11,-0.271,0.034,0.333,0.025,-0.364,-0.125,0.720
200,414,14,49,62,CONFINED,0.144,0.011,0.011,4.17E-13,7.317,3.417,3.525,-0.227,0.003,0.069,0.165,1.474,4.791E-12,-0.299,0.206,1.781,0.083,-0.211,-0.083,0.743
252,528,11,61,71,CONFINED,0.374,1.570,5.654,7.491E-2,1.142,6.535,2.529,1.000,0.004,0.070,0.192,1.499,0.576,-0.128,0.006,0.394,0.028,1.000,0.267,0.765
294,617,11,83,93,CONFINED,0.259,0.578,0.950,9.932E-2,4.698,6.349,3.119,0.683,0.030,0.188,0.612,1.480,0.096,-0.362,0.056,0.234,0.103,1.000,0.187,0.608
475,964,13,171,183,CONFINED,0.047,0.016,0.016,4.817E-12,2.529,3.920,3.679,-0.227,0.009,0.104,0.080,1.891,2.869E-11,-0.259,0.242,1.300,0.028,-0.222,-0.087,0.732
475,966,10,201,210,CONFINED,0.051,0.014,0.022,9.637E-13,2.552,3.904,3.284,-0.227,0.000,0.000,0.000,3.139,5.335E153,-0.344,0.006,0.689,0.021,-0.444,0.000,0.646
520,1039,13,204,216,CONFINED,0.252,98099.167,0.002,1.738E3,1.351,7.086,2.951,0.954,0.002,0.050,0.170,1.805,0.021,-0.164,0.010,0.212,0.111,0.256,-0.082,0.714
531,1065,10,212,221,CONFINED,0.198,0.014,0.021,2.128E-13,3.704,5.760,3.431,-0.227,4.444E-4,0.026,0.076,4.336,6.078E-12,-0.220,0.004,4.800,0.101,-0.444,-0.143,0.761
572,1118,11,223,233,CONFINED,0.286,1.159,3.324,5.148E-2,6.404,7.531,2.299,0.990,0.015,0.151,0.340,1.594,0.650,0.151,0.155,1.219,0.047,1.000,0.817,0.356
