"mean","sd","n","size","t","dataid"
0.0136759185024599,0.0146871447700496,144,1,0.100044958293438,"SG-TPD54_F_1"
0.0253689583215172,0.0310934800710462,144,2,0.200089916586876,"SG-TPD54_F_1"
0.0340772784243689,0.0466866419390812,144,3,0.300134874880314,"SG-TPD54_F_1"
0.0435074120956435,0.0650548762445322,144,4,0.400179833173752,"SG-TPD54_F_1"
0.052871683983811,0.0825328031696936,144,5,0.50022479146719,"SG-TPD54_F_1"
0.0611486419004185,0.101155850945265,144,6,0.600269749760628,"SG-TPD54_F_1"
0.0698422753826076,0.122732498488488,144,7,0.700314708054066,"SG-TPD54_F_1"
0.0792078552043001,0.147895669485314,113,8,0.800359666347504,"SG-TPD54_F_1"
0.0455132445746486,0.0201970215800689,76,1,0.100044958293438,"SG-TPD54_F_2"
0.0838980980049431,0.0398067897541865,76,2,0.200089916586876,"SG-TPD54_F_2"
0.122427538796839,0.0712076436410825,76,3,0.300134874880314,"SG-TPD54_F_2"
0.155423977492731,0.108055945090284,76,4,0.400179833173752,"SG-TPD54_F_2"
0.195518878074994,0.154904926406712,76,5,0.50022479146719,"SG-TPD54_F_2"
0.0417638936625699,0.0228700689880851,62,1,0.100044958293438,"SG-TPD54_F_3"
0.0779546891060295,0.0484203446979126,62,2,0.200089916586876,"SG-TPD54_F_3"
0.113232903785608,0.082553282628589,62,3,0.300134874880314,"SG-TPD54_F_3"
0.146056239973604,0.124537170319659,62,4,0.400179833173752,"SG-TPD54_F_3"
0.178270791128594,0.165826466452779,62,5,0.50022479146719,"SG-TPD54_F_3"
0.228012772826124,0.219064820564475,62,6,0.600269749760628,"SG-TPD54_F_3"
0.0257181534461206,0.0226058360408182,555,1,0.100044958293438,"SG-TPD54_F_4"
0.046273973775439,0.0431955154438953,555,2,0.200089916586876,"SG-TPD54_F_4"
0.0643100859825691,0.0676074997784547,555,3,0.300134874880314,"SG-TPD54_F_4"
0.0813743434628063,0.0916087819237084,555,4,0.400179833173752,"SG-TPD54_F_4"
0.097261807717576,0.119766646299754,555,5,0.50022479146719,"SG-TPD54_F_4"
0.114978272252075,0.153369444888719,555,6,0.600269749760628,"SG-TPD54_F_4"
0.12869055600542,0.181939009135405,555,7,0.700314708054066,"SG-TPD54_F_4"
0.133443923981032,0.207680852062999,452,8,0.800359666347504,"SG-TPD54_F_4"
0.0281652821855058,0.0160503078782602,276,1,0.100044958293438,"SG-TPD54_F_5"
0.0503413578165632,0.0326047038220595,276,2,0.200089916586876,"SG-TPD54_F_5"
0.0711017744003422,0.0528315034418455,276,3,0.300134874880314,"SG-TPD54_F_5"
0.090878119541571,0.0797913831843821,276,4,0.400179833173752,"SG-TPD54_F_5"
0.111779802707566,0.110937652874576,276,5,0.50022479146719,"SG-TPD54_F_5"
0.132053978715753,0.142643080272595,276,6,0.600269749760628,"SG-TPD54_F_5"
0.155114431298819,0.176650097011332,276,7,0.700314708054066,"SG-TPD54_F_5"
0.177801738125194,0.209161713331369,228,8,0.800359666347504,"SG-TPD54_F_5"
0.188932936356654,0.217794101304796,202,9,0.900404624640942,"SG-TPD54_F_5"
0.0334778585229849,0.0155512968316645,45,1,0.0600351989269257,"SG-TPD54_F_6"
0.0669122062376955,0.0332890898726914,45,2,0.120070397853851,"SG-TPD54_F_6"
0.0882227641124029,0.050919237723549,45,3,0.180105596780777,"SG-TPD54_F_6"
0.111302684789025,0.0751091454707493,45,4,0.240140795707703,"SG-TPD54_F_6"
0.142428230262149,0.113980869137736,45,5,0.300175994634628,"SG-TPD54_F_6"
0.172367128782485,0.164605832006297,45,6,0.360211193561554,"SG-TPD54_F_6"
0.208087915027278,0.220091437251935,45,7,0.42024639248848,"SG-TPD54_F_6"
0.198183981043858,0.170994653365588,41,8,0.480281591415405,"SG-TPD54_F_6"
0.0176147097200039,0.0112684741650345,95,1,0.0600351989269257,"SG-TPD54_F_7"
0.0343480807672289,0.0233501467198174,95,2,0.120070397853851,"SG-TPD54_F_7"
0.0483265868546471,0.0380846818558793,95,3,0.180105596780777,"SG-TPD54_F_7"
0.0587240617133805,0.0502648445747802,95,4,0.240140795707703,"SG-TPD54_F_7"
0.0667908771669533,0.0584715726704,95,5,0.300175994634628,"SG-TPD54_F_7"
0.078498511984959,0.0809495678616308,95,6,0.360211193561554,"SG-TPD54_F_7"
0.0911380950651587,0.102207097111012,95,7,0.42024639248848,"SG-TPD54_F_7"
0.107463873070736,0.140748263157217,82,8,0.480281591415405,"SG-TPD54_F_7"
0.107473066457857,0.152153886748923,71,9,0.540316790342331,"SG-TPD54_F_7"
0.110248717716205,0.172312036629387,62,10,0.600351989269257,"SG-TPD54_F_7"
0.0247293853721338,0.0113131033221181,105,1,0.0600351989269257,"SG-TPD54_F_8"
0.0514386842096773,0.0290051241626436,105,2,0.120070397853851,"SG-TPD54_F_8"
0.075130795120193,0.046748075721326,105,3,0.180105596780777,"SG-TPD54_F_8"
0.0984997199209339,0.0745608053524441,105,4,0.240140795707703,"SG-TPD54_F_8"
0.1212164470963,0.104285184107025,105,5,0.300175994634628,"SG-TPD54_F_8"
0.144819184298669,0.133024464774471,105,6,0.360211193561554,"SG-TPD54_F_8"
0.177020940107141,0.177042385332303,105,7,0.42024639248848,"SG-TPD54_F_8"
0.208643699035573,0.211322267339741,95,8,0.480281591415405,"SG-TPD54_F_8"
0.250237556109171,0.255308774567991,82,9,0.540316790342331,"SG-TPD54_F_8"
0.264652607481103,0.2800890535292,75,10,0.600351989269257,"SG-TPD54_F_8"
0.0281652821855058,0.0160503078782602,276,1,0.100044958293438,"SG-TPD54_F_9"
0.0503413578165632,0.0326047038220595,276,2,0.200089916586876,"SG-TPD54_F_9"
0.0711017744003422,0.0528315034418455,276,3,0.300134874880314,"SG-TPD54_F_9"
0.090878119541571,0.0797913831843821,276,4,0.400179833173752,"SG-TPD54_F_9"
0.111779802707566,0.110937652874576,276,5,0.50022479146719,"SG-TPD54_F_9"
0.132053978715753,0.142643080272595,276,6,0.600269749760628,"SG-TPD54_F_9"
0.155114431298819,0.176650097011332,276,7,0.700314708054066,"SG-TPD54_F_9"
0.177801738125194,0.209161713331369,228,8,0.800359666347504,"SG-TPD54_F_9"
0.188932936356654,0.217794101304796,202,9,0.900404624640942,"SG-TPD54_F_9"
