"alpha","speed","dee","displacement","neighbours","fd","width","condition","dataid"
0.896250845988526,1.54614305531917,0.0612690743758226,0.0659737708835152,20.1293683283051,1.62469163228616,0.473062652614388,"SG-TPD54","SG-TPD54_1"
0.912253420372322,1.64485625021882,0.0666398679470483,0.069678086614072,14.3852471005884,1.58457702422629,0.475821051711235,"SG-TPD54","SG-TPD54_2"
0.916525419006373,1.65317989719164,0.0682766239948411,0.0731956610518613,18,1.61076748620241,0.481776118198817,"SG-TPD54","SG-TPD54_3"
0.90169972586846,1.43783772596912,0.0527879115349536,0.0582442379804225,17,1.60453579309517,0.448595984319599,"SG-TPD54","SG-TPD54_4"
0.867084873726865,1.30128281762851,0.0472703535372562,0.0502496268013783,21.5848149968061,1.62243980206986,0.421805987831531,"SG-TPD54","SG-TPD54_5"
0.969498935531242,0.939807041614937,0.036051221245257,0.0410260757440988,1.50685963673698,1,0.134440110164785,"SG-TPD54_F","SG-TPD54_F_1"
0.995030049436776,1.87976667685716,0.116388845524722,0.128322458791889,9.74447445628393,1.17112592483653,0.335322778272346,"SG-TPD54_F","SG-TPD54_F_2"
1.00430940646991,1.7313007190124,0.106273830074754,0.116535055597498,10,1.27710219662597,0.307032379451941,"SG-TPD54_F","SG-TPD54_F_3"
0.970484645609121,0.98570745578577,0.0666411313550043,0.0521837955507304,4.38508452463781,1.23108234475792,0.207137893197096,"SG-TPD54_F","SG-TPD54_F_4"
0.976862915480004,1.44028625324383,0.071934644881769,0.0831677788657754,13.0830850799028,1.28396397963462,0.307624777834502,"SG-TPD54_F","SG-TPD54_F_5"
0.981626091036728,2.51877492076861,0.153081540378288,0.124141763467385,6.80834765460417,1.64252631810076,0.564137528203094,"SG-TPD54_F","SG-TPD54_F_6"
0.895003141909215,1.59027227970442,0.0797755974665843,0.0706937013555228,8.53926169675245,1.59400884687369,0.422522519626866,"SG-TPD54_F","SG-TPD54_F_7"
0.973568117299389,2.10668593510949,0.10701713091464,0.103681020292531,11.519015891587,1.60735466376403,0.510958257397472,"SG-TPD54_F","SG-TPD54_F_8"
0.976862915480004,1.3469731496478,0.071934644881769,0.085918398913522,7.86657299000303,1.68210023368669,0.596086751127748,"SG-TPD54_F","SG-TPD54_F_9"
